48,5131.841659545898,1525638,257.921875
60,5164.542675018311,1527056,231.625
47,4820.932149887085,1524982,228.9609375
50,5180.331230163574,1525902,251.453125
46,5020.383834838867,1524280,187.3125
49,4916.043519973755,1525794,232.7578125
42,4850.0354290008545,1521506,161.203125
45,5198.690414428711,1523602,182.328125
41,4845.682859420776,1520820,216.0859375
44,4853.848934173584,1522880,226.9375
40,4851.046562194824,1520094,188.125
43,4895.596742630005,1522214,171.2265625
36,5062.89005279541,1497856,197.9375
39,5294.371604919434,1514562,205.421875
90,35644.028663635254,11038944,568.6171875
35,5070.959568023682,1455188,167.640625
38,5252.891302108765,1508992,205.0625
34,4983.873128890991,1412486,190.5625
37,5292.5989627838135,1503442,132.0078125
30,771.0506916046143,205538,114.5625
29,765.9389972686768,205459,111.4140625
28,767.0743465423584,205352,102.203125
27,768.2473659515381,205281,104.96875
33,3866.180181503296,1097810,149.734375
26,766.3044929504395,205184,64.15625
32,770.0192928314209,205698,121.1875
25,768.1174278259277,205101,98.6484375
31,774.8007774353027,205633,84.3828125
24,766.883373260498,204994,95.4375
21,757.6582431793213,202997,86.3828125
23,762.2134685516357,204339,68.171875
20,752.8584003448486,202312,83.3125
22,760.918140411377,203662,89.3125
19,732.874870300293,196781,53.109375
15,107.03301429748535,26294,51.171875
14,106.2934398651123,26216,48.3125
13,105.36646842956543,26146,45.6015625
12,104.91108894348145,26064,42.8125
11,102.25224494934082,25410,36.96875
18,711.2352848052979,191232,77.3125
10,99.99537467956543,24746,37.4375
9,77.69346237182617,19216,34.0234375
8,15.357732772827148,3058,26.0
7,14.232158660888672,2995,23.453125
6,13.686895370483398,2926,20.875
5,10.616779327392578,2273,18.1953125
4,2.176523208618164,284,13.7421875
3,1.7027854919433594,222,11.2109375
2,0.3235340118408203,14,8.640625
1,0.011444091796875,1,0.421875
17,531.3308238983154,148565,71.2421875
16,102.24533081054688,26358,53.0
80,36175.570011138916,11031498,567.5
70,33803.89857292175,10901306,547.5234375
140,242314.56351280212,78472552,1684.6328125
200,256070.01638412476,78763118,1990.1953125
120,32445.38378715515,11047442,586.703125
100,32453.550338745117,11044024,593.4296875
180,223713.1552696228,78751048,1956.0625
160,221962.97144889832,78734446,1751.828125
500,1610672.331571579,557221880,9193.890625
400,1538593.3384895325,557170346,7758.59375
300,1538658.9221954346,556982240,6583.3125
