N,time
9,1
9,1
9,127
9,1
9,255
9,63
9,127
9,255
9,1
9,11263
9,1
9,1
9,1
9,31
9,1
9,255
9,1
9,15
9,1
9,1
9,255
9,63
9,127
9,1
9,1
9,127
9,63
9,255
9,1
9,11263
9,63
9,1
9,127
9,1
9,63
9,127
9,1
9,1
9,31
9,1
9,63
9,1
9,1
9,1
9,1
9,1
9,63
9,255
9,1
9,11263
9,255
9,1
9,1
9,1
9,127
9,1
9,63
9,1
9,1
9,1
9,63
9,1
9,63
9,1
9,1
9,255
9,255
9,8191
9,1
9,15
9,1
9,127
9,1
9,127
9,1
9,31
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,127
9,63
9,3
9,1
9,7167
9,1
9,1
9,1
9,1
9,1
9,1
9,127
9,1
9,1
9,1
9,1
9,1
9,7
9,1
10,255
10,127
10,63
10,1
10,127
10,1
10,4095
10,8191
10,1
10,1
10,127
10,1
10,1
10,9215
10,1
10,1
10,1
10,63
10,1
10,1
10,1
10,127
10,127
10,1
10,127
10,4095
10,1
10,8191
10,1
10,8191
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,63
10,255
10,1
10,1
10,1
10,63
10,1
10,127
10,4095
10,1
10,7167
10,1
10,127
10,1
10,63
10,1
10,7167
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,31
10,127
10,4095
10,1
10,6143
10,1
10,1
10,1
10,1
10,1
10,1
10,127
10,1
10,127
10,1
10,1
10,7167
10,1
10,31
10,1
10,1
10,1
10,4095
10,1
10,6143
10,1
10,7167
10,3
10,63
10,31
10,255
10,1
10,127
10,1
10,63
10,1
10,1
10,1
10,1
10,255
10,3071
10,1
10,6143
10,1
10,8191
10,1
10,63
10,1
10,31
10,1
10,15
10,15
10,15
10,1
10,63
10,127
10,1
10,31
10,1
10,1
10,3071
10,1
10,6143
10,1
10,8191
10,31
10,1
10,1
10,1
10,63
10,1
10,1
10,1
10,127
10,1
10,7
10,1
10,127
10,1
10,1
10,2047
10,1
10,4095
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,7167
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,255
10,1
10,511
10,1
10,1
10,1
10,4095
10,1
10,7167
10,1
10,1
10,1
10,10239
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,63
10,255
10,127
10,1
10,1
10,4095
10,1
10,8191
10,1
10,31
10,1
10,10239
10,1
10,1
10,1
10,1
10,1
10,1
11,255
11,1
11,1
11,127
11,63
11,1
11,1
11,8191
11,1
11,5119
11,1
11,1
11,1
11,1
11,1
11,8191
11,1
11,1
11,1
11,1
11,1
11,1
11,127
11,127
11,31
11,31
11,31
11,6143
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,5119
11,1
11,9215
11,1
11,1
11,127
11,255
11,63
11,1
11,15
11,6143
11,31
11,1
11,63
11,1
11,127
11,1
11,1
11,6143
11,1
11,9215
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,127
11,1
11,1
11,127
11,5119
11,63
11,6143
11,1
11,7167
11,1
11,15
11,1
11,1
11,1
11,63
11,1
11,63
11,127
11,63
11,3
11,1
11,1
11,5119
11,1
11,8191
11,1
11,7167
11,127
11,15
11,1
11,1
11,127
11,1
11,127
11,1
11,15
11,511
11,1
11,1
11,1
11,15
11,1
11,4095
11,1
11,8191
11,1
11,7167
11,1
11,63
11,1
11,1
11,1
11,1
11,127
11,1
11,255
11,127
11,255
11,1
11,1
11,3071
11,1
11,9215
11,1
11,7167
11,127
11,1
11,1
11,1
11,1
11,1
11,31
11,1
11,63
11,1
11,1
11,1
11,1
11,1
11,1
11,2047
11,1
11,9215
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,7167
11,1
11,63
11,127
11,1
11,1
11,1
11,255
11,255
11,1
11,63
11,1
11,255
11,1
11,1
11,1
11,9215
11,1
11,6143
11,1
11,1
11,1
11,1
11,1
11,1
11,127
11,1
11,1
11,255
11,15
11,1
11,15
11,255
11,127
11,1
11,1
11,9215
11,1
11,6143
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,63
11,31
11,127
11,127
11,63
11,31
11,127
11,8191
11,1
11,5119
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
12,1
12,1
12,15
12,6143
12,1
12,9215
12,1
12,12287
12,1
12,127
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,127
12,6143
12,1
12,9215
12,1
12,11263
12,1
12,1
12,1
12,127
12,1
12,31
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,5119
12,1
12,8191
12,1
12,10239
12,1
12,127
12,1
12,15
12,1
12,63
12,1
12,127
12,1
12,1
12,127
12,1
12,3
12,1
12,1
12,127
12,1
12,4095
12,1
12,8191
12,1
12,10239
12,1
12,127
12,1
12,3
12,1
12,3
12,63
12,7
12,1
12,1
12,63
12,1
12,1
12,1
12,1
12,3071
12,1
12,8191
12,1
12,10239
12,1
12,15
12,1
12,127
12,255
12,1
12,63
12,1
12,127
12,1
12,1
12,1
12,127
12,2047
12,1
12,8191
12,1
12,9215
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,127
12,1
12,1
12,1
12,1
12,255
12,1
12,1
12,1
12,255
12,1
12,8191
12,1
12,8191
12,1
12,1
12,1
12,127
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,31
12,127
12,1
12,31
12,127
12,1
12,8191
12,1
12,31
12,1
12,1
12,1
12,1
12,1
12,9215
12,3
12,1
12,127
12,1
12,1
12,1
12,63
12,1
12,255
12,1
12,1
12,8191
12,63
12,1
12,63
12,1
12,1
12,1
12,1
12,9215
12,63
12,1
12,1
12,1
12,63
12,31
12,1
12,127
12,127
12,7167
12,1
12,8191
12,1
12,1
12,1
12,1
12,1
12,13311
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,31
12,7167
12,1
12,9215
12,1
12,1
12,1
12,1
12,1
12,1
12,127
12,1
12,3
12,1
12,1
12,14335
12,127
12,1
12,63
12,6143
12,1
12,9215
12,1
12,12287
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
13,127
13,63
13,63
13,31
13,1
13,6143
13,1
13,20479
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,31
13,63
13,127
13,5119
13,1
13,18431
13,1
13,1
13,1
13,63
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,1
13,1
13,5119
13,1
13,18431
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,1
13,1
13,1
13,63
13,1
13,15
13,1
13,1
13,1
13,63
13,5119
13,1
13,15359
13,1
13,127
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,255
13,255
13,1
13,4095
13,1
13,13311
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,1
13,1
13,255
13,63
13,4095
13,1
13,10239
13,1
13,255
13,1
13,1
13,1
13,127
13,1
13,63
13,1
13,31
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,4095
13,1
13,10239
13,255
13,127
13,63
13,1
13,1
13,1
13,127
13,1
13,1
13,1
13,1
13,1
13,63
13,1
13,255
13,4095
13,1
13,8191
13,1
13,63
13,1
13,127
13,1
13,1
13,1
13,127
13,1
13,1
13,1
13,1
13,31
13,1
