N,time
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,511
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,63
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,63
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1023
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,63
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1023
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1023
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,3071
13,1
13,1
13,1
13,1
13,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,63
14,3071
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,255
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1023
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1
14,511
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1
14,255
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,1
14,1
14,511
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,31
14,2047
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,3
14,1023
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,127
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1023
14,1
14,1
14,1
14,1
14,1
15,1
15,7
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,63
15,1
15,1
15,15
15,1023
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,31
15,1
15,1
15,2047
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,2047
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,2047
15,31
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,2047
15,1023
15,1
15,1
15,1
15,1
15,2047
15,1
15,1
15,1
15,1
15,1
15,1
15,7
15,1
15,1
15,63
15,3071
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1023
15,1023
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1023
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,511
15,1023
15,1
15,1
15,1
15,1
15,1
15,1
15,63
15,127
15,31
15,127
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
16,1
16,1
16,3071
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,1
16,1
16,1
16,1
16,1
16,1
16,2047
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,63
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,511
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,127
16,63
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,15
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
17,1
17,1
17,1
17,1
17,31
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,255
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,31
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,511
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,15
17,1
17,2047
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,63
17,1
17,1
17,1
17,1
17,1
17,1
17,255
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,1
17,1
17,31
17,2047
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,31
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,15
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,2047
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,1
17,1
17,1
17,1
17,1
18,1
18,1
18,1
18,1
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,511
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1023
18,63
18,1
18,1
18,1
18,1
18,1
18,1
18,63
18,31
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,63
18,1
18,1
18,3071
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,255
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,31
18,511
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,15
18,127
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,2047
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,2047
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,31
18,255
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,63
18,1
18,1
18,1
18,1
19,1
19,1
19,2047
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1023
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,63
19,1
19,1
19,1
19,1
19,1
19,2047
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,127
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,3
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,63
19,7
19,1
19,63
19,1023
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,7
19,15
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,3071
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,63
19,255
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,31
19,1
19,1
19,1
19,1
20,1
20,1
20,1
20,15
20,1023
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1023
20,1
20,1
20,1
20,1
20,1
20,63
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1023
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,31
20,1023
20,3071
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,15
20,1023
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,63
20,1
20,63
20,1
