N,time
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,63
9,1
9,1
9,1
9,127
9,1
9,127
9,127
9,31
9,1
9,15
9,1
9,1
9,1
9,1
9,1
9,127
9,1
9,255
9,1
9,31
9,1
9,1
9,1
9,127
9,1
9,255
9,1
9,31
9,63
9,1
9,1
9,63
9,1
9,63
9,15
9,255
9,1
9,1
9,1
9,1023
9,127
9,127
9,127
9,255
9,7
9,127
9,1
9,127
9,1
9,255
9,1
9,31
9,1
9,127
9,1
9,1
9,1
9,255
9,255
9,1
9,63
9,1
9,1
9,255
9,1
9,255
9,127
9,127
9,1
9,1
9,63
9,1
9,127
9,31
9,1
9,127
9,1
10,1
10,1
10,127
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,127
10,1
10,63
10,1
10,127
10,1
10,127
10,1
10,31
10,1
10,4095
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,255
10,1
10,1
10,127
10,1
10,1
10,1
10,1
10,1
10,1
10,63
10,1
10,63
10,1
10,63
10,1
10,127
10,1
10,127
10,1
10,1
10,63
10,1
10,1023
10,127
10,1
10,63
10,7
10,31
10,31
10,1
10,127
10,1
10,127
10,1
10,15
10,1
10,1
10,1
10,255
10,1
10,15
10,255
10,1
10,127
10,1
10,3
10,127
10,1
10,255
10,1
10,31
10,63
10,15
10,31
10,1
10,1
10,127
10,1
10,511
10,1
10,255
10,1
10,15
10,63
10,255
10,127
10,255
10,1
10,127
10,1
10,15
10,31
10,127
10,1
10,127
10,1
10,31
10,1
10,1
10,255
10,255
10,1
10,127
10,1
10,31
10,255
10,255
10,127
10,1
10,31
10,63
10,7
10,1
10,1
10,1
10,63
10,127
10,1
10,1
10,1
10,255
10,1
10,127
10,63
10,255
10,1
10,63
10,31
10,63
10,1
10,31
10,1
10,7
10,31
10,7
10,1
10,63
10,1
10,255
10,63
10,63
10,31
10,255
10,127
10,63
10,1
10,127
10,1
10,63
10,1
10,31
10,31
10,31
10,1
10,1
10,7
10,1
10,1
10,255
10,1
10,63
10,1
10,31
10,1
10,31
10,1
10,1
10,1
10,63
10,1
10,63
10,1
10,63
10,63
10,31
10,1
10,15
10,31
11,255
11,127
11,63
11,1
11,63
11,1
11,1
11,1
11,1
11,127
11,127
11,1
11,127
11,1
11,15
11,1
11,15
11,1
11,127
11,1
11,127
11,1
11,31
11,31
11,63
11,15
11,31
11,15
11,127
11,1
11,1
11,1
11,127
11,1
11,63
11,15
11,15
11,63
11,127
11,1
11,1
11,1
11,63
11,1
11,1
11,127
11,1
11,15
11,1
11,1
11,31
11,1
11,63
11,1
11,63
11,1
11,15
11,15
11,1
11,1
11,1
11,127
11,255
11,31
11,31
11,63
11,1
11,7
11,1
11,127
11,63
11,31
11,1
11,127
11,31
11,1
11,127
11,1
11,15
11,1
11,255
11,127
11,127
11,1
11,7
11,1
11,63
11,3
11,127
11,1
11,31
11,1
11,127
11,1
11,15
11,127
11,63
11,1
11,63
11,1
11,255
11,1
11,127
11,1
11,31
11,63
11,1
11,1
11,1
11,1
11,1
11,63
11,31
11,31
11,255
11,1
11,1
11,15
11,63
11,3
11,1
11,1
11,127
11,31
11,127
11,1
11,31
11,15
11,63
11,1
11,127
11,1
11,127
11,1
11,1
11,127
11,127
11,1
11,31
11,1
11,255
11,1
11,63
11,7
11,255
11,1
11,63
11,1
11,1
11,1
11,63
11,63
11,255
11,1
11,1
11,31
11,1
11,127
11,127
11,1
11,1
11,1
11,127
11,1
11,1
11,63
11,127
11,1
11,1
11,15
11,1
11,1
11,63
11,127
11,63
11,1
11,63
11,1
11,127
11,1
11,127
11,63
11,127
11,1
11,1
11,31
11,15
11,127
11,511
11,1
11,63
11,31
11,127
11,1
11,1
11,1
11,63
11,127
11,63
11,1
11,1
11,1
11,63
11,127
11,1
11,1
11,63
11,1
11,127
11,255
11,127
11,1
11,31
11,1
11,31
11,1
11,63
11,1
11,63
11,1
12,1
12,1
12,127
12,15
12,127
12,63
12,255
12,255
12,1
12,63
12,1
12,127
12,1
12,63
12,1
12,1
12,1
12,255
12,1
12,1
12,1
12,255
12,127
12,1
12,127
12,1
12,1
12,1
12,127
12,1
12,31
12,1
12,15
12,127
12,255
12,255
12,255
12,127
12,127
12,1
12,511
12,1
12,127
12,63
12,1
12,1
12,31
12,127
12,31
12,31
12,63
12,1
12,255
12,127
12,511
12,127
12,255
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,255
12,1
12,31
12,31
12,255
12,1
12,127
12,1
12,1
12,1
12,255
12,1
12,1
12,1
12,255
12,1
12,511
12,1
12,15
12,1
12,31
12,127
12,1
12,1
12,63
12,1
12,1
12,127
12,127
12,1
12,63
12,127
12,127
12,1
12,1
12,255
12,1
12,1
12,63
12,1
12,511
12,1
12,63
12,63
12,63
12,31
12,255
12,1
12,127
12,1
12,127
12,1
12,127
12,1
12,127
12,1
12,127
12,1
12,1
12,127
12,1
12,63
12,63
12,1
12,63
12,1
12,31
12,127
12,63
12,1
12,63
12,127
12,63
12,1
12,63
12,1
12,127
12,255
12,1
12,63
12,1
12,1
12,127
12,1
12,127
12,1
12,63
12,1
12,255
12,1
12,2047
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1023
12,63
12,63
12,63
12,1
12,63
12,7
12,127
12,255
12,127
12,1
12,63
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,255
12,63
12,1
12,63
12,1
12,1
12,1
12,127
12,1
12,3
12,127
12,127
12,1
12,1
12,1
12,1
12,1
12,7
12,127
12,511
12,1
12,31
12,1
12,7
12,1
12,63
12,1
12,1
12,1
12,255
12,1
12,63
12,1
12,63
12,1
12,63
12,1
12,127
12,1
12,127
12,1
12,127
12,31
12,255
12,127
12,3071
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
13,1
13,255
13,127
13,1
13,1
13,3
13,127
13,1
13,127
13,127
13,127
13,1
13,31
13,1
13,1
13,63
13,63
13,31
13,1
13,1
13,1
13,1
13,127
13,1
13,31
13,1
13,63
13,1
13,255
13,1
13,127
13,1
13,31
13,63
13,1
13,63
13,63
13,1
13,255
13,127
13,255
13,1
13,15
13,31
13,63
13,1
13,15
13,127
13,127
13,1
13,127
13,1
13,127
13,1
13,127
13,1
13,63
13,127
13,511
13,1
13,511
13,1
13,1
13,1
13,255
13,1
13,31
13,63
13,127
13,1
13,63
13,1
13,31
13,31
13,127
13,255
13,255
13,1
13,127
13,127
13,1
13,255
13,127
13,1
13,1
13,127
13,31
13,1
13,127
13,1
13,1
13,1
13,7
13,1
13,31
13,1
13,511
13,127
13,31
13,1
13,1
13,1
13,127
13,1
13,7
13,127
13,255
13,255
13,1
13,127
13,1
13,31
13,1
13,63
13,1
13,1
13,1
13,1
13,1
13,1
13,255
13,1
13,7
13,31
13,255
13,1
13,3071
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,127
13,255
13,1
13,31
13,1
13,127
13,1
13,1023
13,1
13,127
13,1
13,31
13,1
13,1
13,1
13,1
13,1
13,127
13,1
13,255
13,1
13,255
13,1
13,1
13,63
13,15
13,255
13,1
13,63
13,1
13,1
13,255
13,1
13,31
13,1
13,1
13,1
13,1
13,1
13,31
13,1
13,63
13,127
13,127
13,127
13,127
13,1
13,63
13,15
13,127
13,255
13,1
13,127
13,1
13,63
13,63
13,1
13,255
13,1
13,127
